platen_name,platen_id,platen_length_m,platen_width_m,subcontractor_team,ship_id,block_seq_id,block_id,block_length_m,block_width_m,processing_time_days,block_output_value,planned_start_day,planned_end_day,due_date_day,delay_days,early_days,standard_early_days
10号南-25,PPT1013A,18,20,外场HN,H1087,113,833,8.709,14.287,17,124.425483,43581,43598,43544,54,-76,0
8号南-15,PPT0808A,20,22,HL,H1087,114,144,17.566,15.678,36,275.399748,43709,43745,43555,190,-240,8
8号北-14,PPT0857A,20,22,HL,H1088,115,183,8.82,15.798,27,139.33836,43479,43506,43547,-41,0,6
10号南-17,PPT1009A,18,20,外场HN,H1088,116,193,15.59,15.978,27,249.09702,43625,43652,43547,105,-146,6
8号南-17,PPT0809A,20,22,HL,H1088,117,124,18.618,14.354,39,267.242772,43679,43718,43556,162,-214,10
45南-3,BQM4503A,33,21,ZH,H1088,118,134,22.828,14.354,39,327.673112,45146,45185,43556,1629,-1681,10
45南-3,BQM4503A,33,21,ZH,H1088,119,644,22.9,15.1,37,345.79,44443,44480,43550,930,-979,27
8号南-13,PPT0807A,20,22,XZY,H1088,120,654,19.2,15.1,37,289.92,43675,43712,43550,162,-211,27
0号东-16,PPT0058A,18,21,QS,H1088,121,825,19.167,16.931,23,324.516477,43469,43492,43536,-44,0,6
10号南-15,PPT1008A,18,20,外场HN,H1088,122,825,19.167,16.931,23,324.516477,43781,43804,43536,268,-312,6
8号南-3,PPT0802A,20,22,HY,H1087,123,835,7.416,16.884,23,125.211744,43746,43769,43536,233,-277,6
10号南-11,PPT1006A,20,20,RH,H1087,124,835,7.416,16.884,23,125.211744,43469,43492,43536,-44,0,6
8号北-26,PPT0863A,20,22,机动,H1087,125,822,16.086,14.292,20,229.901112,43738,43758,43539,219,-265,5
0号东-14,PPT0057A,20,21,QS,H1087,126,822,16.086,14.292,20,229.901112,43596,43616,43539,77,-123,5
10号北-6,PPT1053A,20,20,外场ZH,H1087,127,832,6.767,14.288,20,96.686896,43584,43604,43539,65,-111,5
8号南-1,PPT0801A,20,22,HY,H1087,128,832,6.767,14.288,20,96.686896,43473,43493,43539,-46,0,5
0号东-16,PPT0058A,18,21,QS,H1087,129,143,13.809,15.686,37,216.607974,43579,43616,43549,67,-116,7
10号南-25,PPT1013A,18,20,外场HN,H1087,130,153,18.919,15.5,37,293.2445,43543,43580,43549,31,-80,7
10号南-13,PPT1007A,18,20,RH,H1088,131,263,16.6,18.79,31,311.914,43460,43491,43542,-51,0,6
0号东-14,PPT0057A,20,21,QS,H1088,132,273,14.5,18.79,31,272.455,43460,43491,43541,-50,0,6
8号北-26,PPT0863A,20,22,机动,H1088,133,261,20.1,16,36,321.6,43458,43494,43542,-48,-2,6
8号北-26,PPT0863A,20,22,机动,H1088,134,261,20.1,16,36,321.6,43626,43662,43542,120,-170,6
10号北-8,PPT1054A,20,20,外场ZH,H1088,135,271,17.8,16,36,284.8,43773,43809,43542,267,-317,6
45南-4,BQM4504A,20,21,ZH,H1088,136,271,17.8,16,36,284.8,43713,43749,43542,207,-257,6
10号南-15,PPT1008A,18,20,外场HN,H1088,137,623,13.38,18.79,19,251.4102,43600,43619,43530,89,-127,3
10号南-15,PPT1008A,18,20,外场HN,H1088,138,633,13.38,18.79,19,251.4102,43686,43705,43530,175,-213,3
0号东-2,PPT0051A,20,21,MZ,H1087,139,283,13.7,18.32,34,250.984,43757,43791,43540,251,-315,6
45南-3,BQM4503A,33,21,ZH,H1087,140,293,22.5,18.32,34,412.2,45053,45087,43540,1547,-1611,6
10号北-14,PPT1057A,20,20,RH,H1087,141,631,10.53,15.97,11,168.1641,43752,43763,43521,242,-279,33
0号西-7,PPT0004A,20,21,MZ,H1087,142,621,8.95,15.97,10,142.9315,43476,43486,43520,-34,0,33
0号东-14,PPT0057A,20,21,QS,H1087,143,182,15,7.3,21,109.5,43574,43595,43531,64,-109,6
10号北-10,PPT1055A,20,20,RH,H1087,144,192,13.889,7.3,21,101.3897,43465,43486,43531,-45,0,6
10号南-25,PPT1013A,18,20,外场HN,H1087,145,123,16.106,12.2,30,196.4932,43649,43679,43533,146,-199,4
0号东-18,PPT0059A,18,21,QS,H1087,146,282,14.7,19.5,33,286.65,43766,43799,43539,260,-323,6
10号南-5,PPT1003A,20,20,外场ZH,H1088,147,292,16.6,19.5,33,323.7,43695,43728,43539,189,-252,6
10号南-21,PPT1011A,18,20,外场HN,H1088,148,262,14.6,17.28,34,252.288,43442,43476,43539,-63,0,0
0号西-3,PPT0002A,20,21,MZ,H1088,149,262,14.6,17.28,34,252.288,43646,43680,43539,141,-204,0
10号北-24,PPT1062A,20,20,外场HN,H1088,150,272,14.4,17.28,34,248.832,43564,43598,43539,59,-122,0
10号北-2,PPT1051A,20,20,外场ZH,H1088,151,272,14.4,17.28,34,248.832,43608,43642,43539,103,-166,0
0号西-3,PPT0002A,20,21,MZ,H1088,152,144,17.566,15.678,24,275.399748,43520,43544,43525,19,-89,7
8号南-7,PPT0804A,20,22,XZY,H1088,153,144,17.566,15.678,24,275.399748,43431,43455,43525,-70,0,7
10号南-3,PPT1002A,20,20,外场ZH,H1088,154,154,19.932,15.976,24,318.433632,43482,43506,43525,-19,-51,7
10号南-21,PPT1011A,18,20,外场HN,H1087,155,154,19.932,15.976,24,318.433632,43539,43563,43525,38,-108,7
10号北-10,PPT1055A,20,20,RH,H1087,156,102,19.76,18.47,43,364.9672,43487,43530,43541,-11,-38,0
48南-3,BQM4803A,36,21,MZ,H1087,157,133,24.07,12.2,30,293.654,44273,44303,43529,774,-823,4
8号北-28,PPT0864A,20,22,机动,H1087,158,632,13.38,17.28,19,231.2064,43676,43695,43524,171,-210,12
10号北-10,PPT1055A,20,20,RH,H1087,159,622,13.38,17.28,17,231.2064,43782,43799,43522,277,-313,12
48北-3,BQM4853A,36,21,HN,H1087,160,103,29.101,15.68,30,456.30368,43627,43657,43533,124,-158,5
45南-3,BQM4503A,33,21,ZH,H1087,161,111,22.2,13.8,28,306.36,44029,44057,43524,533,-570,15
10号南-15,PPT1008A,18,20,外场HN,H1087,162,124,18.618,14.354,23,267.242772,43706,43729,43521,208,-274,6
0号东-6,PPT0053A,20,21,MZ,H1088,163,124,18.618,14.354,23,267.242772,43721,43744,43521,223,-289,6
48南-3,BQM4803A,36,21,MZ,H1088,164,134,22.828,14.354,23,327.673112,44666,44689,43521,1168,-1234,6
48南-3,BQM4803A,36,21,MZ,H1088,165,134,22.828,14.354,23,327.673112,44371,44394,43521,873,-939,6
0号西-1,PPT0001A,20,21,MZ,H1088,166,122,15.531,12.2,31,189.4782,43689,43720,43531,189,-237,-1
8号北-28,PPT0864A,20,22,机动,H1088,167,132,18.94,12.2,31,231.068,43566,43597,43531,66,-114,-1
8号南-19,PPT0810A,20,22,HL,H1088,168,112,21,8.6,21,180.6,43580,43601,43516,85,-118,5
10号南-9,PPT1005A,20,20,RH,H1088,169,221,17,15.97,24,271.49,43648,43672,43530,142,-188,22
8号南-3,PPT0802A,20,22,HY,H1088,170,684,14.7,20,37,294,43555,43592,43530,62,-114,12
0号东-2,PPT0051A,20,21,MZ,H1087,171,694,14.7,20,37,294,43639,43676,43529,147,-198,12
10号北-20,PPT1060A,20,20,外场HN,H1087,172,273,14.5,18.79,25,272.455,43571,43596,43520,76,-134,1
10号北-6,PPT1053A,20,20,外场ZH,H1087,173,273,14.5,18.79,25,272.455,43437,43462,43520,-58,0,1
8号南-5,PPT0803A,20,22,HY,H1087,174,112,21,8.6,21,180.6,43677,43698,43512,186,-214,5
0号西-3,PPT0002A,20,21,MZ,H1087,175,112,21,8.6,21,180.6,43761,43782,43512,270,-298,5
10号北-12,PPT1056A,20,20,RH,H1087,176,263,16.6,18.79,24,311.914,43594,43618,43517,101,-158,1
0号东-4,PPT0052A,20,21,MZ,H1087,177,263,16.6,18.79,24,311.914,43717,43741,43517,224,-281,1
8号北-14,PPT0857A,20,22,HL,H1087,178,633,13.38,18.79,15,251.4102,43555,43570,43510,60,-107,0
10号南-15,PPT1008A,18,20,外场HN,H1088,179,633,13.38,18.79,15,251.4102,43570,43585,43510,75,-122,0
48南-3,BQM4803A,36,21,MZ,H1088,180,111,22.2,13.8,24,306.36,44170,44194,43510,684,-741,7
45南-3,BQM4503A,33,21,ZH,H1088,181,111,22.2,13.8,24,306.36,44235,44259,43510,749,-806,7
8号北-18,PPT0859A,20,22,HL,H1088,182,623,13.38,18.79,16,251.4102,43658,43674,43510,164,-212,0
10号南-19,PPT1010A,18,20,外场HN,H1088,183,623,13.38,18.79,16,251.4102,43784,43800,43510,290,-338,0
10号南-23,PPT1012A,18,20,外场HN,H1088,184,183,8.82,15.798,21,139.33836,43604,43625,43511,114,-173,4
0号东-16,PPT0058A,18,21,QS,H1088,185,183,8.82,15.798,21,139.33836,43672,43693,43511,182,-241,4
42南-2,BQM4202A,18,18,YT,H1088,186,193,15.59,15.978,21,249.09702,43530,43551,43511,40,-99,4
48北-3,BQM4853A,36,21,HN,H1087,187,193,15.59,15.978,21,249.09702,43431,43452,43511,-59,0,4
48南-3,BQM4803A,36,21,MZ,H1087,188,101,30.66,9.4,32,288.204,44975,45007,43515,1492,-1538,0
0号东-2,PPT0051A,20,21,MZ,H1087,189,231,14.308,15.97,22,228.49876,43574,43596,43517,79,-123,14
8号北-26,PPT0863A,20,22,机动,H1087,190,182,16,7.3,19,116.8,43680,43699,43509,190,-229,4
10号北-8,PPT1054A,20,20,外场ZH,H1087,191,182,17,7.3,19,124.1,43451,43470,43509,-39,0,4
10号南-15,PPT1008A,18,20,外场HN,H1087,192,192,13.889,7.3,19,101.3897,43528,43547,43509,38,-77,4
10号南-23,PPT1012A,18,20,外场HN,H1087,193,192,13.889,7.3,19,101.3897,43451,43470,43509,-39,0,4
10号北-10,PPT1055A,20,20,RH,H1087,194,123,16.106,12.2,25,196.4932,43684,43709,43509,200,-233,1
8号南-7,PPT0804A,20,22,XZY,H1088,195,123,16.106,12.2,25,196.4932,43713,43738,43509,229,-262,1
48北-3,BQM4853A,36,21,HN,H1088,196,133,24.07,12.2,25,293.654,44069,44094,43509,585,-618,1
45南-3,BQM4503A,33,21,ZH,H1088,197,133,24.07,12.2,25,293.654,44812,44837,43509,1328,-1361,1
45南-3,BQM4503A,33,21,ZH,H1088,198,801,28.614,19.075,34,545.81205,44481,44515,43515,1000,-1049,9
48南-3,BQM4803A,36,21,MZ,H1088,199,801,28.614,19.075,34,545.81205,44195,44229,43515,714,-763,9
45南-3,BQM4503A,33,21,ZH,H1088,200,801,24.3,20.03,44,486.729,44976,45020,43517,1503,-1565,1
10号北-20,PPT1060A,20,20,外场HN,H1088,201,631,10.53,15.97,13,168.1641,43469,43482,43500,-18,-34,0
10号南-1,PPT1001A,20,20,外场ZH,H1088,202,631,10.53,15.97,13,168.1641,43435,43448,43500,-52,0,0
10号南-23,PPT1012A,18,20,外场HN,H1087,203,621,8.95,15.97,14,142.9315,43589,43603,43500,103,-154,0
10号南-19,PPT1010A,18,20,外场HN,H1087,204,621,8.95,15.97,14,142.9315,43662,43676,43500,176,-227,0
0号东-10,PPT0055A,20,21,MZ,H1087,205,632,13.38,17.28,14,231.2064,43601,43615,43499,116,-176,4
10号北-24,PPT1062A,20,20,外场HN,H1087,206,632,13.38,17.28,14,231.2064,43747,43761,43499,262,-322,4
10号北-6,PPT1053A,20,20,外场ZH,H1087,207,143,13.809,15.686,21,216.607974,43661,43682,43502,180,-226,6
10号南-1,PPT1001A,20,20,外场ZH,H1087,208,143,13.809,15.686,21,216.607974,43601,43622,43502,120,-166,6
0号东-18,PPT0059A,18,21,QS,H1087,209,153,18.919,15.5,21,293.2445,43713,43734,43502,232,-278,6
8号南-3,PPT0802A,20,22,HY,H1087,210,153,18.919,15.5,21,293.2445,43503,43524,43502,22,-68,6
48南-3,BQM4803A,36,21,MZ,H1088,211,102,19.76,18.47,19,364.9672,43671,43690,43496,194,-230,0
10号南-7,PPT1004A,20,20,外场ZH,H1088,212,102,19.76,18.47,19,364.9672,43787,43806,43496,310,-346,0
45南-3,BQM4503A,33,21,ZH,H1088,213,101,30.66,9.4,30,288.204,44781,44811,43506,1305,-1375,7
48北-3,BQM4853A,36,21,HN,H1088,214,101,30.66,9.4,30,288.204,43741,43771,43506,265,-335,7
10号南-7,PPT1004A,20,20,外场ZH,H1088,215,622,13.38,17.28,12,231.2064,43427,43439,43495,-56,0,5
10号北-10,PPT1055A,20,20,RH,H1088,216,622,13.38,17.28,12,231.2064,43427,43439,43495,-56,0,5
8号南-5,PPT0803A,20,22,HY,H1088,217,261,20.1,16,32,321.6,43785,43817,43509,308,-354,6
8号南-15,PPT0808A,20,22,HL,H1088,218,261,20.1,16,32,321.6,43541,43573,43509,64,-110,6
10号南-3,PPT1002A,20,20,外场ZH,H1087,219,271,17.8,16,32,284.8,43619,43651,43509,142,-188,6
0号东-16,PPT0058A,18,21,QS,H1087,220,271,17.8,16,32,284.8,43709,43741,43509,232,-278,6
0号东-2,PPT0051A,20,21,MZ,H1087,221,144,17.566,15.678,23,275.399748,43515,43538,43499,39,-108,7
10号南-19,PPT1010A,18,20,外场HN,H1087,222,144,17.566,15.678,23,275.399748,43638,43661,43499,162,-231,7
48南-10,BQM4810A,22,21,MZ,H1087,223,154,19.932,15.976,23,318.433632,43539,43562,43499,63,-132,7
8号南-13,PPT0807A,20,22,XZY,H1087,224,154,19.932,15.976,23,318.433632,43528,43551,43499,52,-121,7
8号南-21,PPT0811A,20,22,HL,H1087,225,262,14.6,17.28,32,252.288,43416,43448,43509,-61,0,0
0号西-3,PPT0002A,20,21,MZ,H1087,226,262,14.6,17.28,32,252.288,43416,43448,43509,-61,0,0
10号南-25,PPT1013A,18,20,外场HN,H1088,227,272,14.4,17.28,32,248.832,43599,43631,43509,122,-183,0
42南-2,BQM4202A,18,18,YT,H1088,228,272,14.4,17.28,32,248.832,43713,43745,43509,236,-297,0
10号北-20,PPT1060A,20,20,外场HN,H1088,229,124,18.618,14.354,22,267.242772,43408,43430,43495,-65,0,6
48南-10,BQM4810A,22,21,MZ,H1088,230,124,18.618,14.354,22,267.242772,43766,43788,43495,293,-358,6
45南-3,BQM4503A,33,21,ZH,H1088,231,134,22.828,14.354,22,327.673112,43861,43883,43495,388,-453,6
48北-3,BQM4853A,36,21,HN,H1088,232,134,22.828,14.354,22,327.673112,44016,44038,43495,543,-608,6
0号东-14,PPT0057A,20,21,QS,H1088,233,122,15.531,12.2,17,189.4782,43727,43744,43490,254,-302,7
8号南-3,PPT0802A,20,22,HY,H1088,234,122,15.531,12.2,17,189.4782,43425,43442,43490,-48,0,7
8号北-28,PPT0864A,20,22,机动,H1087,235,132,18.94,12.2,17,231.068,43696,43713,43490,223,-271,7
8号南-19,PPT0810A,20,22,HL,H1087,236,132,18.94,12.2,17,231.068,43692,43709,43490,219,-267,7
