seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_date_day,delay_days,processing_time_days,is_feasible,status
588,193,H1087,31,PPT1007A,Bay10-S-13,149,170,192,0,21,True,ALLOCATED
589,284,H1087,27,PPT1003A,Bay10-S-5,98,143,180,0,45,True,ALLOCATED
590,183,H1087,32,PPT1008A,Bay10-S-15,144,165,191,0,21,True,ALLOCATED
591,193,H1087,61,PPT0859A,Bay8-N-18,144,165,191,0,21,True,ALLOCATED
592,231,H1087,12,PPT0002A,0西-3,166,187,198,0,21,True,ALLOCATED
593,112,H1087,56,PPT0809A,Bay8-S-17,177,195,188,7,18,True,ALLOCATED
594,112,H1087,58,PPT0811A,Bay8-S-21,177,195,188,7,18,True,ALLOCATED
595,283,H1088,55,PPT0808A,Bay8-S-15,98,141,180,0,43,True,ALLOCATED
596,294,H1088,15,PPT0051A,0东-2,98,143,179,0,45,True,ALLOCATED
597,101,H1088,8,BQM4503A,Bay45-S-3,454,484,185,299,30,True,ALLOCATED
598,824,H1088,16,PPT0052A,0东-4,153,179,187,0,26,True,ALLOCATED
599,824,H1088,58,PPT0811A,Bay8-S-21,151,177,186,0,26,True,ALLOCATED
600,293,H1088,42,PPT1055A,Bay10-N-10,98,141,177,0,43,True,ALLOCATED
601,269,H1088,22,PPT0058A,0东-16,150,179,186,0,29,True,ALLOCATED
602,269,H1088,23,PPT0059A,0东-18,150,179,186,0,29,True,ALLOCATED
603,279,H1087,34,PPT1010A,Bay10-S-19,150,179,186,0,29,True,ALLOCATED
604,279,H1087,35,PPT1011A,Bay10-S-21,150,179,186,0,29,True,ALLOCATED
605,268,H1087,13,PPT0003A,0西-5,144,174,183,0,30,True,ALLOCATED
606,278,H1087,25,PPT1001A,Bay10-S-1,144,174,183,0,30,True,ALLOCATED
607,631,H1087,18,PPT0054A,0东-8,155,168,189,0,13,True,ALLOCATED
608,631,H1087,46,PPT1059A,Bay10-N-18,156,169,189,0,13,True,ALLOCATED
609,182,H1087,19,PPT0055A,0东-10,171,189,189,0,18,True,ALLOCATED
610,182,H1087,52,PPT0803A,Bay8-S-5,173,191,189,2,18,True,ALLOCATED
611,192,H1088,3,BQM4808A,Bay48-S-8,169,187,189,0,18,True,ALLOCATED
612,192,H1088,33,PPT1009A,Bay10-S-17,169,187,189,0,18,True,ALLOCATED
613,144,H1088,33,PPT1009A,Bay10-S-17,101,126,183,0,25,True,ALLOCATED
614,154,H1088,64,PPT0863A,Bay8-N-26,101,126,183,0,25,True,ALLOCATED
615,172,H1088,22,PPT0058A,0东-16,101,133,180,0,32,True,ALLOCATED
616,632,H1088,43,PPT1056A,Bay10-N-12,137,151,188,0,14,True,ALLOCATED
617,632,H1088,10,BQM4202A,Bay42-S-2,138,152,188,0,14,True,ALLOCATED
618,268,H1088,39,PPT1052A,Bay10-N-4,143,173,182,0,30,True,ALLOCATED
619,278,H1087,47,PPT1060A,Bay10-N-20,143,173,182,0,30,True,ALLOCATED
620,621,H1087,42,PPT1055A,Bay10-N-10,154,168,188,0,14,True,ALLOCATED
621,621,H1087,3,BQM4808A,Bay48-S-8,155,169,188,0,14,True,ALLOCATED
622,123,H1087,36,PPT1012A,Bay10-S-23,171,194,182,12,23,True,ALLOCATED
623,123,H1087,45,PPT1058A,Bay10-N-16,171,194,182,12,23,True,ALLOCATED
624,133,H1087,8,BQM4503A,Bay45-S-3,484,507,182,325,23,True,ALLOCATED
625,133,H1087,7,BQM4853A,Bay48-N-3,487,510,182,328,23,True,ALLOCATED
626,221,H1087,44,PPT1057A,Bay10-N-14,174,188,190,0,14,True,ALLOCATED
627,231,H1088,41,PPT1054A,Bay10-N-8,174,188,190,0,14,True,ALLOCATED
628,125,H1088,25,PPT1001A,Bay10-S-1,102,144,180,0,42,True,ALLOCATED
629,135,H1088,32,PPT1008A,Bay10-S-15,102,144,180,0,42,True,ALLOCATED
630,629,H1088,52,PPT0803A,Bay8-S-5,141,173,182,0,32,True,ALLOCATED
631,629,H1088,55,PPT0808A,Bay8-S-15,141,173,182,0,32,True,ALLOCATED
632,639,H1088,41,PPT1054A,Bay10-N-8,142,174,182,0,32,True,ALLOCATED
633,639,H1088,44,PPT1057A,Bay10-N-14,142,174,182,0,32,True,ALLOCATED
634,124,H1088,54,PPT0807A,Bay8-S-13,151,177,181,0,26,True,ALLOCATED
635,134,H1087,56,PPT0809A,Bay8-S-17,151,177,181,0,26,True,ALLOCATED
636,144,H1087,34,PPT1010A,Bay10-S-19,99,124,181,0,25,True,ALLOCATED
637,261,H1087,20,PPT0056A,0东-12,137,171,180,0,34,True,ALLOCATED
638,261,H1087,11,PPT0001A,0西-1,138,172,180,0,34,True,ALLOCATED
639,271,H1087,40,PPT1053A,Bay10-N-6,136,170,180,0,34,True,ALLOCATED
640,271,H1087,19,PPT0055A,0东-10,137,171,180,0,34,True,ALLOCATED
641,622,H1087,17,PPT0053A,0东-6,139,152,186,0,13,True,ALLOCATED
642,622,H1087,42,PPT1055A,Bay10-N-10,141,154,186,0,13,True,ALLOCATED
643,154,H1088,59,PPT0857A,Bay8-N-14,99,123,180,0,24,True,ALLOCATED
644,143,H1088,37,PPT1013A,Bay10-S-25,145,166,181,0,21,True,ALLOCATED
645,143,H1088,50,PPT0801A,Bay8-S-1,146,167,181,0,21,True,ALLOCATED
646,153,H1088,26,PPT1002A,Bay10-S-3,148,169,181,0,21,True,ALLOCATED
647,153,H1088,33,PPT1009A,Bay10-S-17,148,169,181,0,21,True,ALLOCATED
648,628,H1088,49,PPT1062A,Bay10-N-24,150,173,181,0,23,True,ALLOCATED
649,638,H1088,24,PPT0060A,0东-20,151,174,181,0,23,True,ALLOCATED
650,628,H1088,41,PPT1054A,Bay10-N-8,107,130,177,0,23,True,ALLOCATED
651,638,H1087,61,PPT0859A,Bay8-N-18,107,130,177,0,23,True,ALLOCATED
652,102,H1087,17,PPT0053A,0东-6,152,172,173,0,20,True,ALLOCATED
653,102,H1087,30,PPT1006A,Bay10-S-11,152,172,173,0,20,True,ALLOCATED
654,183,H1087,61,PPT0859A,Bay8-N-18,165,184,179,5,19,True,ALLOCATED
655,193,H1087,65,PPT0864A,Bay8-N-28,165,184,179,5,19,True,ALLOCATED
656,124,H1087,57,PPT0810A,Bay8-S-19,88,114,174,0,26,True,ALLOCATED
657,134,H1087,65,PPT0864A,Bay8-N-28,88,114,174,0,26,True,ALLOCATED
658,101,H1087,2,BQM4803A,Bay48-S-3,295,326,172,154,31,True,ALLOCATED
659,101,H1088,7,BQM4853A,Bay48-N-3,324,355,172,183,31,True,ALLOCATED
660,826,H1088,4,BQM4810A,Bay48-S-10,120,175,166,9,55,True,ALLOCATED
661,836,H1088,62,PPT0861A,Bay8-N-22,105,160,166,0,55,True,ALLOCATED
662,183,H1088,59,PPT0857A,Bay8-N-14,161,181,178,3,20,True,ALLOCATED
663,193,H1088,60,PPT0858A,Bay8-N-16,161,181,178,3,20,True,ALLOCATED
664,822,H1088,21,PPT0057A,0东-14,132,167,173,0,35,True,ALLOCATED
665,832,H1088,53,PPT0804A,Bay8-S-7,131,166,173,0,35,True,ALLOCATED
666,261,H1088,60,PPT0858A,Bay8-N-16,96,135,169,0,39,True,ALLOCATED
667,271,H1087,51,PPT0802A,Bay8-S-3,98,137,169,0,39,True,ALLOCATED
668,112,H1087,52,PPT0803A,Bay8-S-5,100,141,153,0,41,True,ALLOCATED
669,825,H1087,28,PPT1004A,Bay10-S-7,127,167,170,0,40,True,ALLOCATED
670,835,H1087,64,PPT0863A,Bay8-N-26,126,166,170,0,40,True,ALLOCATED
671,183,H1087,28,PPT1004A,Bay10-S-7,92,127,167,0,35,True,ALLOCATED
672,122,H1087,22,PPT0058A,0东-16,133,150,171,0,17,True,ALLOCATED
673,122,H1087,35,PPT1011A,Bay10-S-21,133,150,171,0,17,True,ALLOCATED
674,132,H1087,49,PPT1062A,Bay10-N-24,133,150,171,0,17,True,ALLOCATED
675,132,H1088,24,PPT0060A,0东-20,134,151,171,0,17,True,ALLOCATED
676,103,H1088,8,BQM4503A,Bay45-S-3,391,407,171,236,16,True,ALLOCATED
677,103,H1088,2,BQM4803A,Bay48-S-3,394,410,171,239,16,True,ALLOCATED
678,193,H1088,26,PPT1002A,Bay10-S-3,91,126,166,0,35,True,ALLOCATED
679,272,H1088,21,PPT0057A,0东-14,99,132,168,0,33,True,ALLOCATED
680,262,H1088,58,PPT0811A,Bay8-S-21,99,132,168,0,33,True,ALLOCATED
681,684,H1088,59,PPT0857A,Bay8-N-14,123,161,166,0,38,True,ALLOCATED
682,694,H1088,38,PPT1051A,Bay10-N-2,122,160,166,0,38,True,ALLOCATED
683,182,H1087,29,PPT1005A,Bay10-S-9,92,132,166,0,40,True,ALLOCATED
684,192,H1087,2,BQM4803A,Bay48-S-3,255,295,166,129,40,True,ALLOCATED
685,110,H1087,63,PPT0862A,Bay8-N-24,84,125,150,0,41,True,ALLOCATED
686,162,H1087,14,PPT0004A,0西-7,101,133,162,0,32,True,ALLOCATED
687,801,H1087,17,PPT0053A,0东-6,106,139,163,0,33,True,ALLOCATED
688,231,H1087,61,PPT0859A,Bay8-N-18,130,144,173,0,14,True,ALLOCATED
689,231,H1087,37,PPT1013A,Bay10-S-25,131,145,173,0,14,True,ALLOCATED
